step,train_loss
1,1.2955458164215088
2,1.0502142906188965
3,1.1361680030822754
4,1.1898977756500244
5,0.9209100008010864
6,1.0079073905944824
7,1.0466749668121338
8,0.6037125587463379
9,0.6771711707115173
10,0.45674797892570496
11,0.7143697738647461
12,0.54648357629776
13,0.6623099446296692
14,0.6237008571624756
15,0.7753190398216248
16,0.6699519753456116
17,0.6708534955978394
18,0.4277403950691223
19,0.6378439664840698
20,0.6777082085609436
21,0.6530975103378296
22,0.5019313097000122
23,0.46265387535095215
24,0.5239702463150024
25,0.4196168780326843
26,0.5953890085220337
27,0.614141583442688
28,0.5296458601951599
29,0.841963529586792
30,0.8237373232841492
31,0.4602625370025635
32,0.4608207941055298
33,0.6889873743057251
34,0.465872198343277
35,0.7529406547546387
36,0.5944993495941162
37,0.48848721385002136
38,0.5587488412857056
39,0.5625149607658386
40,0.40672922134399414
41,0.6567671298980713
42,0.9240806102752686
43,0.6856038570404053
44,0.3584529459476471
45,0.7355028986930847
46,0.7076907753944397
47,0.6640720367431641
48,0.6188027858734131
49,0.6010907292366028
50,0.39588892459869385
51,0.6374615430831909
52,0.5087170004844666
53,0.43766751885414124
54,0.6114175915718079
55,0.5119013786315918
56,0.6656053066253662
57,0.5555922985076904
58,0.41116470098495483
59,0.5090494155883789
60,0.5926938652992249
61,0.37230184674263
62,0.7700282335281372
63,0.4278126657009125
64,0.458940327167511
65,0.577380359172821
66,0.5327093601226807
67,0.46495747566223145
68,0.48306772112846375
69,0.40883246064186096
70,0.5838138461112976
71,0.5370764136314392
72,0.43360188603401184
73,0.36406418681144714
74,0.5249855518341064
75,0.5140535831451416
76,0.6734219789505005
77,0.6332857608795166
78,0.5134094953536987
79,0.7391324639320374
80,0.6372047066688538
81,0.36848634481430054
82,0.6270665526390076
83,0.41606831550598145
84,0.6509090662002563
85,0.4121665358543396
86,0.6256142854690552
87,0.6683347821235657
88,0.3881508409976959
89,0.39737653732299805
90,0.5134190320968628
91,0.547468900680542
92,0.523421585559845
93,0.8247311115264893
94,0.39773470163345337
95,0.4324474036693573
96,0.4135524034500122
97,0.40178632736206055
98,0.3411562442779541
99,0.5352145433425903
100,0.551930844783783
101,0.5664128065109253
102,0.810862123966217
103,0.7035142779350281
104,0.6047936081886292
105,0.3918999433517456
106,0.5535778999328613
107,0.518432080745697
108,0.6066797971725464
109,0.5096728801727295
110,0.5449140667915344
111,0.6324039697647095
112,0.5324476361274719
113,0.9490339159965515
114,0.43035203218460083
115,0.5064020752906799
116,0.3645748496055603
117,0.35682040452957153
118,0.4687987267971039
119,0.46318310499191284
120,0.6288377642631531
121,0.6409311294555664
122,0.476519376039505
123,0.8247947096824646
124,0.5449735522270203
125,0.5079759359359741
126,0.5445567965507507
127,0.5230395793914795
128,0.4756316840648651
129,0.3979322910308838
130,0.7355126738548279
131,0.4619104564189911
132,0.36232253909111023
133,0.6366741061210632
134,0.48144012689590454
135,0.6170315742492676
136,0.5143481492996216
137,0.4439341425895691
138,0.43025487661361694
139,0.4016343057155609
140,0.4131567180156708
141,0.4475935995578766
142,0.663134753704071
143,0.41290417313575745
144,0.7893081903457642
145,0.6204402446746826
146,0.5758345723152161
147,0.5124972462654114
148,0.846589207649231
149,0.5892996788024902
150,0.7374932765960693
151,0.38639402389526367
152,0.7031232714653015
153,0.6197245717048645
154,0.34910956025123596
155,0.6844876408576965
156,0.42335620522499084
157,0.5637194514274597
158,0.7948918342590332
159,0.39923563599586487
160,0.6951760649681091
161,0.634340226650238
162,0.48056626319885254
163,0.343436062335968
164,0.6128880977630615
165,0.39244797825813293
166,0.3381238281726837
167,0.468477725982666
168,0.5640813112258911
169,0.575564980506897
170,0.5132792592048645
171,0.4668290317058563
172,0.5309541821479797
173,0.7118549346923828
174,0.6012685894966125
175,0.40816056728363037
176,0.7475568652153015
177,0.5878035426139832
178,0.448891282081604
179,0.6337367296218872
180,0.37292617559432983
181,0.6269341111183167
182,0.5344213247299194
183,0.8673920631408691
184,0.4638233780860901
185,0.35759469866752625
186,0.3808787763118744
187,0.5786895751953125
188,0.6363105773925781
189,0.5487000346183777
190,0.5186988115310669
191,0.4419684112071991
192,0.6916592121124268
193,0.4565104842185974
194,0.4400712251663208
195,0.5376354455947876
196,0.4323665201663971
197,0.48247188329696655
198,0.6507046222686768
199,0.6328944563865662
200,0.4692392945289612
201,0.4986274242401123
202,0.5434805154800415
203,0.406046599149704
204,0.6139975786209106
205,0.5360282063484192
206,0.5625248551368713
207,0.6613792777061462
208,0.5349583029747009
209,0.5185431241989136
210,0.4211218059062958
211,0.4736082851886749
212,0.45153501629829407
213,0.38730165362358093
214,0.6015214323997498
215,0.3814201056957245
216,0.6343787908554077
217,0.46781888604164124
218,0.6497178673744202
219,0.7574091553688049
220,0.5323553085327148
221,0.738740086555481
222,0.46334171295166016
223,0.5153695344924927
224,0.6096476316452026
225,0.5221962928771973
226,0.8423580527305603
227,0.5088915824890137
228,0.4304066300392151
229,0.5035330057144165
230,0.5976027846336365
231,0.5767414569854736
232,0.5137589573860168
233,0.6125413179397583
234,0.6315639019012451
235,0.39495235681533813
236,0.4524485766887665
237,0.5753969550132751
238,0.7305196523666382
239,0.6362542510032654
240,0.5604342222213745
241,0.6293401122093201
242,0.5956999063491821
243,0.5616329312324524
244,0.4546298682689667
245,0.4852117598056793
246,0.7904036045074463
247,0.7393633723258972
248,0.3473396897315979
249,0.5529056787490845
250,0.3952479660511017
251,0.4247799217700958
252,0.4570043087005615
253,0.43927088379859924
254,0.34697139263153076
255,0.3221787214279175
256,0.6301770210266113
257,0.5077874660491943
258,0.44702330231666565
259,0.39997053146362305
260,0.5819374322891235
261,0.4658944010734558
262,0.5871289372444153
263,0.6238232254981995
264,0.4631364941596985
265,0.3857792019844055
266,0.6799680590629578
267,0.6654857993125916
268,0.8058981895446777
269,0.8162122368812561
270,0.6153624057769775
271,0.5082544088363647
272,0.4417729079723358
273,0.4400911331176758
274,0.6089303493499756
275,0.4036535918712616
276,0.4661892354488373
277,0.8476201295852661
278,0.3839327096939087
279,0.4809548258781433
280,0.6279920339584351
281,0.4815095067024231
282,0.6992168426513672
283,0.6365673542022705
284,0.4634174406528473
285,0.6316612958908081
286,0.7244166731834412
287,0.3847218155860901
288,0.9135406017303467
289,0.45608869194984436
290,0.5312786102294922
291,0.5804126262664795
292,0.5753570795059204
293,0.4630460739135742
294,0.4387637972831726
295,0.7189632654190063
296,0.4572417140007019
297,0.38542550802230835
298,0.7197084426879883
299,0.6268736124038696
300,0.5223904252052307
301,0.4225582778453827
302,0.7766442894935608
303,0.441777765750885
304,0.8784425258636475
305,0.37349987030029297
306,0.3715803027153015
307,0.5623384714126587
308,0.6100199818611145
309,0.37543851137161255
310,0.43265238404273987
311,0.7806652188301086
312,0.3947606682777405
313,0.3828849792480469
314,0.6725060343742371
315,0.4469282627105713
316,0.3461208939552307
317,0.3918153941631317
318,0.49277350306510925
319,0.5666683316230774
320,0.4222148358821869
321,0.473136842250824
322,0.6978345513343811
323,0.5130742788314819
324,0.49551138281822205
325,0.37282633781433105
326,0.8456510305404663
327,0.44187813997268677
328,0.7273271083831787
329,0.5415979623794556
330,0.7773851752281189
331,0.7256278991699219
332,0.42262670397758484
333,0.3688538670539856
334,0.5288118124008179
335,0.7093084454536438
336,0.3733765780925751
337,0.42530757188796997
338,0.5176411271095276
339,0.36541152000427246
340,1.0304508209228516
341,0.5553590059280396
342,0.45006120204925537
343,0.5695657730102539
344,0.3720211684703827
345,0.3385653793811798
346,0.5941447615623474
347,0.4036482572555542
348,0.3991355001926422
349,0.4350084662437439
350,0.5441636443138123
351,0.44596073031425476
352,0.5724462866783142
353,0.7251105308532715
354,0.41734787821769714
355,0.4354531466960907
356,0.970999002456665
357,0.5892679691314697
358,0.8145574331283569
359,0.7520751953125
360,0.5026366114616394
361,0.487117737531662
362,0.4649145305156708
363,0.4009074568748474
364,0.39615553617477417
365,0.34657496213912964
366,0.7140878438949585
367,0.36425426602363586
368,0.46534979343414307
369,0.7827917337417603
370,0.44792887568473816
371,0.49944114685058594
372,0.5508565902709961
373,0.4586118459701538
374,0.38268840312957764
375,0.4030432105064392
376,0.6324399709701538
377,0.505344808101654
378,0.5927749276161194
379,0.37375694513320923
380,0.6534801721572876
381,0.4041353464126587
382,0.5684671998023987
383,0.4186219871044159
384,0.7556638121604919
385,0.3176882863044739
386,0.4419340193271637
387,0.5865042209625244
388,0.32680192589759827
389,0.517127275466919
390,0.4154782295227051
391,0.4925999343395233
392,0.7930378913879395
393,0.7699384093284607
394,0.9511024951934814
395,0.42770713567733765
396,0.36280500888824463
397,0.37781915068626404
398,0.4900730848312378
399,0.5685733556747437
400,0.40589046478271484
401,0.4725680351257324
402,0.4554190933704376
403,0.5451654195785522
404,0.525808572769165
405,0.41442352533340454
406,0.4441225528717041
407,0.6176730394363403
408,0.5156993865966797
409,0.5949776768684387
410,0.3638991415500641
411,0.5893507599830627
412,0.40691062808036804
413,0.6608973145484924
414,0.5605134963989258
415,0.32244157791137695
416,0.44859281182289124
417,0.7421096563339233
418,0.36447635293006897
419,0.36132100224494934
420,0.48974815011024475
421,0.3961268365383148
422,0.38158711791038513
423,0.4389823377132416
424,0.5749290585517883
425,0.6522310972213745
426,0.7086611986160278
427,0.43036171793937683
