model,split,n,feasible,feasibility_pct,mean_gap_pct,median_gap_pct,miss_op_sum,route_viol_sum,mc_viol_sum,time_viol_sum,prec_viol_sum
full_v1_ckpt600,sm,200,194,97.0,6.08,2.92,0,4,1,0,2
full_v2_ckpt200,ood,18,5,27.78,9.61,10.91,178,14,48,34,3
full_v2_ckpt200,sm,200,175,87.5,5.92,2.55,0,410,2415,308,272
full_v3_ckpt200,ood,18,6,33.33,6.55,8.1,175,2,113,87,0
full_v3_ckpt200,sm,200,188,94.0,5.55,3.87,3,148,541,135,99
full_v4_2_ckpt200,ood,18,11,61.11,22.47,17.63,178,3,0,0,0
full_v4_2_ckpt200,sm,200,193,96.5,6.52,3.58,5,15,2,5,4
full_v4_ckpt200,ood,18,8,44.44,8.32,7.93,175,4,36,51,2
full_v4_ckpt200,sm,200,187,93.5,5.17,3.58,0,190,874,114,134
pilot_hybrid_lc_n100_v5,ood,18,9,50.0,24.68,10.91,175,1,60,28,1
pilot_hybrid_lc_n100_v5,sm,200,190,95.0,6.84,3.91,5,106,394,44,64
pilot_hybrid_n100_v4_2,ood,18,10,55.56,13.31,10.03,176,6,2,0,0
pilot_hybrid_n100_v4_2,sm,200,192,96.0,6.28,3.11,6,45,140,14,30
pilot_lora_v1,ood,18,7,38.89,9.51,9.15,42,2,9,6,0
pilot_lora_v1,sm,200,186,93.0,5.12,3.21,12,55,118,23,31
pilot_lora_v2,ood,18,8,44.44,12.18,10.48,52,3,8,10,0
pilot_lora_v2,sm,200,187,93.5,5.91,4.15,10,33,77,12,14
pilot_lora_v3,ood,18,6,33.33,8.81,8.51,55,0,2,0,0
pilot_lora_v3,sm,200,186,93.0,5.21,2.75,11,4,1,1,3
pilot_lora_v4,ood,18,12,66.67,12.07,12.99,40,5,0,0,0
pilot_lora_v4,sm,200,185,92.5,5.35,3.64,10,54,114,29,41
pilot_lora_v5,ood,18,7,38.89,9.47,8.8,42,5,0,0,0
pilot_lora_v5,sm,200,187,93.5,5.55,3.62,14,7,5,3,4
pilot_lora_v6,ood,18,8,44.44,11.36,10.88,34,75,87,17,28
pilot_lora_v6,sm,200,181,90.5,5.48,3.64,16,4,3,1,3
pilot_stratified_100,ood,18,11,61.11,39.28,17.47,176,4,0,3,1
pilot_stratified_100,sm,200,187,93.5,6.11,3.73,7,59,132,20,28
pilot_stratified_100_v2,ood,18,7,38.89,13.21,9.83,175,3,130,21,0
pilot_stratified_100_v2,sm,200,190,95.0,6.95,3.87,1,135,627,94,100
pilot_stratified_lc_n100_v6,ood,18,8,44.44,12.51,10.03,175,8,73,21,2
pilot_stratified_lc_n100_v6,sm,200,191,95.5,6.77,4.17,1,125,491,64,74
pilot_stratified_n100_v3,ood,18,8,44.44,10.17,10.55,177,16,17,8,1
pilot_stratified_n100_v3,sm,200,192,96.0,6.81,3.75,4,67,254,36,43
pilot_uniform_100,ood,18,10,55.56,30.8,11.82,177,4,38,4,1
pilot_uniform_100,sm,200,193,96.5,6.49,4.56,5,70,182,18,36
strict_v1_pilot,ood,18,8,44.44,12.43,11.52,46,2,1,0,1
strict_v2_pilot,ood,18,11,61.11,13.21,8.81,45,1,8,8,1
strict_v3_pilot,ood,18,9,50.0,12.94,12.54,21,2,1,0,1
strict_v4_pilot,ood,18,6,33.33,9.57,8.04,54,6,33,2,0
