idx,name,n_ops,bks,feasible,makespan,missing_op_count,routing_order_violations,machine_capacity_violations,timing_consistency_violations,precedence_violations,total_violations,ops_emitted,ops_expected,gen_time_s
96,,9,72,True,75,0,0,0,0,0,0,9,9,1.47
97,,6,419,True,419,0,0,0,0,0,0,6,6,1.0
98,,49,499,True,566,0,0,0,0,0,0,49,49,7.91
99,,16,1806,True,1806,0,0,0,0,0,0,16,16,2.7
100,,12,1356,True,1356,0,0,0,0,0,0,12,12,1.96
101,,32,536,True,556,0,0,0,0,0,0,32,32,5.15
102,,9,987,True,987,0,0,0,0,0,0,9,9,1.46
103,,50,2179,True,2392,0,0,0,0,0,0,50,50,8.74
104,,30,1236,True,1281,0,0,0,0,0,0,30,30,4.82
105,,40,2102,True,2383,0,0,0,0,0,0,40,40,7.03
106,,9,1037,True,1037,0,0,0,0,0,0,9,9,1.47
107,,54,1100,True,1264,0,0,0,0,0,0,54,54,8.97
108,,100,2524,False,4465,0,36,140,12,25,213,284,100,64.09
109,,15,562,True,562,0,0,0,0,0,0,15,15,2.4
110,,30,1426,True,1454,0,0,0,0,0,0,30,30,5.1
111,,8,59,True,59,0,0,0,0,0,0,8,8,1.32
112,,81,2212,False,2433,0,0,1,0,0,1,82,81,15.09
113,,21,1238,True,1238,0,0,0,0,0,0,21,21,3.43
114,,81,992,True,1309,0,0,0,0,0,0,81,81,13.7
115,,36,1663,True,1707,0,0,0,0,0,0,36,36,6.21
116,,60,649,True,744,0,0,0,0,0,0,60,60,9.83
117,,18,1539,True,1539,0,0,0,0,0,0,18,18,3.01
118,,35,1347,True,1443,0,0,0,0,0,0,35,35,5.75
119,,21,1834,True,1904,0,0,0,0,0,0,21,21,3.55
120,,27,2392,True,2392,0,0,0,0,0,0,27,27,4.65
121,,18,1218,True,1218,0,0,0,0,0,0,18,18,2.93
122,,45,1534,True,1695,0,0,0,0,0,0,45,45,7.49
123,,16,1404,True,1428,0,0,0,0,0,0,16,16,2.63
124,,12,96,True,96,0,0,0,0,0,0,12,12,1.94
125,,18,1082,True,1082,0,0,0,0,0,0,18,18,2.87
126,,90,563,True,632,0,0,0,0,0,0,91,90,15.28
127,,9,655,True,655,0,0,0,0,0,0,9,9,1.47
128,,16,982,True,982,0,0,0,0,0,0,16,16,2.54
129,,4,638,True,638,0,0,0,0,0,0,4,4,0.7
130,,16,646,True,646,0,0,0,0,0,0,16,16,2.55
131,,36,1110,True,1110,0,0,0,0,0,0,36,36,5.88
132,,42,1385,True,1497,0,0,0,0,0,0,42,42,7.16
133,,9,645,True,682,0,0,0,0,0,0,9,9,1.46
134,,48,741,True,856,0,0,0,0,0,0,48,48,7.76
135,,27,1895,True,2030,0,0,0,0,0,0,27,27,4.55
136,,35,667,True,676,0,0,0,0,0,0,35,35,5.62
137,,16,874,True,874,0,0,0,0,0,0,16,16,2.54
138,,16,329,True,334,0,0,0,0,0,0,16,16,2.56
139,,45,1882,True,2065,0,0,0,0,0,0,45,45,7.75
140,,54,2525,True,2782,0,0,0,0,0,0,54,54,9.6
141,,50,267,True,267,0,0,0,0,0,0,50,50,8.11
142,,12,1214,True,1214,0,0,0,0,0,0,12,12,1.97
143,,72,1267,True,1479,0,0,0,0,0,0,72,72,12.53
144,,24,433,True,434,0,0,0,0,0,0,24,24,3.84
145,,42,2043,True,2323,0,0,0,0,0,0,42,42,7.53
146,,49,2021,True,2083,0,0,0,0,0,0,49,49,8.59
147,,50,1672,True,1848,0,0,0,0,0,0,50,50,8.72
148,,18,337,True,337,0,0,0,0,0,0,18,18,2.88
149,,16,2140,True,2140,0,0,0,0,0,0,16,16,2.7
150,,30,1577,True,1904,0,0,0,0,0,0,30,30,5.14
151,,80,2704,True,3072,0,0,0,0,0,0,80,80,14.82
152,,14,1667,True,1667,0,0,0,0,0,0,14,14,2.33
153,,30,1143,True,1296,0,0,0,0,0,0,30,30,4.8
154,,40,1329,True,1525,0,0,0,0,0,0,40,40,6.68
155,,20,517,True,544,0,0,0,0,0,0,20,20,3.19
156,,80,2335,True,2737,0,0,0,0,0,0,80,80,14.58
157,,15,557,True,557,0,0,0,0,0,0,15,15,2.41
158,,72,1455,True,1491,0,0,0,0,0,0,72,72,12.32
159,,49,507,True,534,0,0,0,0,0,0,49,49,7.92
160,,10,22,True,22,0,0,0,0,0,0,10,10,1.65
161,,45,1549,True,1606,0,0,0,0,0,0,45,45,7.65
162,,70,155,True,192,0,0,0,0,0,0,70,70,11.58
163,,9,658,True,670,0,0,0,0,0,0,9,9,1.47
164,,16,287,True,287,0,0,0,0,0,0,16,16,2.54
165,,10,1178,True,1200,0,0,0,0,0,0,10,10,1.65
166,,9,815,True,839,0,0,0,0,0,0,9,9,1.46
167,,12,142,True,142,0,0,0,0,0,0,12,12,1.94
168,,24,2328,True,2328,0,0,0,0,0,0,24,24,4.09
169,,45,2515,True,2515,0,0,0,0,0,0,45,45,7.85
170,,20,1699,True,1699,0,0,0,0,0,0,20,20,3.4
171,,18,1405,True,1469,0,0,0,0,0,0,18,18,2.99
172,,35,1261,True,1452,0,0,0,0,0,0,35,35,5.79
173,,14,788,True,788,0,0,0,0,0,0,14,14,2.25
174,,35,1484,True,1562,0,0,0,0,0,0,35,35,5.82
175,,50,2098,False,1995,3,0,0,0,0,3,47,50,8.09
176,,16,895,True,957,0,0,0,0,0,0,16,16,2.54
177,,60,1529,True,1720,0,0,0,0,0,0,60,60,10.45
178,,25,1381,True,1472,0,0,0,0,0,0,25,25,4.14
179,,81,3033,False,3029,1,0,0,0,0,1,80,81,14.85
180,,20,1068,True,1088,0,0,0,0,0,0,20,20,3.23
181,,30,265,True,282,0,0,0,0,0,0,30,30,4.8
182,,27,2309,True,2337,0,0,0,0,0,0,27,27,4.62
183,,72,490,True,520,0,0,0,0,0,0,72,72,11.94
184,,36,383,True,444,0,0,0,0,0,0,36,36,5.78
185,,40,140,True,140,0,0,0,0,0,0,40,40,6.44
