model,method,name,size,feasible,best_known,pred,gap_pct,input_tokens,gen_tokens,time_s,precedence_violations,routing_order_violations,timing_consistency_violations,machine_capacity_violations,missing_op_count,total_violations,extra_ops
qwen2,rsLoRA,la04,10x5,0,590,651,10.338983050847457,389,822,10.5,1,6,4,1,4,16,0
qwen2,rsLoRA,la05,10x5,0,593,601,1.3490725126475547,393,841,10.7,2,2,5,0,4,13,0
qwen2,rsLoRA,la06,15x5,0,926,632,-31.749460043196542,543,693,8.9,2,6,2,0,36,46,0
qwen2,rsLoRA,la07,15x5,0,890,575,-35.39325842696629,545,762,9.8,3,5,2,2,31,43,0
qwen2,rsLoRA,la08,15x5,0,863,605,-29.89571263035921,537,757,9.8,1,13,5,2,36,57,0
qwen2,rsLoRA,la09,15x5,0,951,885,-6.940063091482649,544,776,10.0,0,8,6,1,34,49,0
qwen2,rsLoRA,la10,15x5,0,958,868,-9.394572025052192,540,863,11.2,2,8,5,0,31,46,0
qwen2,rsLoRA,la16,10x10,0,945,56009,5826.878306878307,643,4769,69.1,21,44,50,45,0,160,0
qwen2,rsLoRA,la17,10x10,0,784,5621,616.9642857142857,638,4589,65.9,17,40,65,40,0,162,0
qwen2,rsLoRA,la18,10x10,0,848,5329,528.4198113207548,644,5053,73.6,17,42,43,59,0,161,0
qwen2,rsLoRA,la19,10x10,0,842,4190,397.62470308788596,639,2479,33.7,1,31,20,1,1,54,0
qwen2,rsLoRA,la20,10x10,0,902,5360,494.2350332594235,640,3966,55.9,15,45,31,30,0,121,0
